date,ETH_Binance_funding_rate,ETH_Bybit_funding_rate,ETH_Deribit_funding_rate,ETH_OKX_funding_rate
2019-11-27,0.10950000000000001,,,
2019-11-28,0.0028871499999999994,,,
2019-11-29,-0.18764285000000003,,,
2019-11-30,0.0225351,,,
2019-12-01,0.10950000000000001,,,
2019-12-02,0.10950000000000001,,,
2019-12-03,0.10950000000000001,,,
2019-12-04,0.10950000000000001,,,
2019-12-05,0.0789057,,,
2019-12-06,0.10244455,,,
2019-12-07,0.10950000000000001,,,
2019-12-08,0.08517274999999999,,,
2019-12-09,0.10950000000000001,,,
2019-12-10,0.10950000000000001,,,
2019-12-11,0.10950000000000001,,,
2019-12-12,0.10950000000000001,,,
2019-12-13,0.10950000000000001,,,
2019-12-14,0.07355115000000001,,,
2019-12-15,0.10950000000000001,,,
2019-12-16,0.09653885000000002,,,
2019-12-17,0.08406315,,,
2019-12-18,0.09091054999999999,,,
2019-12-19,0.10950000000000001,,,
2019-12-20,0.10950000000000001,,,
2019-12-21,0.10950000000000001,,,
2019-12-22,0.10950000000000001,,,
2019-12-23,0.10950000000000001,,,
2019-12-24,0.10950000000000001,,,
2019-12-25,0.10950000000000001,,,
2019-12-26,0.10839770000000001,,,
2019-12-27,0.10950000000000001,,,
2019-12-28,0.10950000000000001,,,
2019-12-29,0.07467900000000001,,,
2019-12-30,0.08653055000000001,,,
2019-12-31,0.108259,,,
2020-01-01,0.004485850000000012,,,
2020-01-02,0.09142155000000002,,,
2020-01-03,0.10950000000000001,,,
2020-01-04,0.10950000000000001,,,
2020-01-05,0.10950000000000001,,,
2020-01-06,0.10950000000000001,,,
2020-01-07,0.10950000000000001,,,
2020-01-08,0.10950000000000001,,,
2020-01-09,0.10950000000000001,,,
2020-01-10,0.10950000000000001,,,
2020-01-11,0.10950000000000001,,,
2020-01-12,0.10950000000000001,,,
2020-01-13,0.10950000000000001,,,
2020-01-14,0.10950000000000001,,,
2020-01-15,0.23225315,,,
2020-01-16,0.35701014999999997,,,
2020-01-17,0.17921135,,,
2020-01-18,0.11320109999999999,,,
2020-01-19,0.3225322500000001,,,
2020-01-20,0.5115329,,,
2020-01-21,0.20836755,,,
2020-01-22,0.12902750000000002,,,
2020-01-23,0.15327810000000003,,,
